"individual.local.identifier","timestamp","COV.x.x","COV.y.y","COV.x.y","location.long","location.lat"
"SG-005","2017-11-30 19:27:00",22.6299963334469,63.3118574546562,-30.3237889708468,-122.230439673321,44.2120330712285
"SG-001","2017-11-30 21:41:00",9.26699318616117,71.2462264424477,8.70798211418879,-122.242490687567,44.1850734472987
"SG-007","2017-11-30 22:24:00",38.3583932454809,37.7802174289028,-30.9263090034486,-122.223367350452,44.198422891736
"SG-005","2017-11-30 22:42:00",1,1,0,-122.228343922924,44.2140875319519
"SG-001","2017-12-03 19:34:00",799.96226617986,277.482668562989,-126.329452279,-122.234697342595,44.1912309459448
"SG-007","2017-12-03 19:40:00",16825.0555584736,12772.3822987787,-2529.97781857918,-122.234473806336,44.1954080511746
"SG-005","2017-12-04 20:00:00",214.111294497071,972.528790254607,-303.143586955982,-122.228332675119,44.2141021968323
"SG-001","2017-12-04 21:37:00",832.971876447627,783.027496831952,-19.9695763461555,-122.232964495668,44.1996139497305
"SG-001","2017-12-05 20:12:00",269.41400388176,217.861877052037,-145.284626907141,-122.233086144198,44.1974385406478
"SG-001","2017-12-05 21:04:00",17883.6257825449,7510.06109275612,-4312.38724978869,-122.232350289,44.1927749029613
"SG-003","2017-12-05 21:43:00",22.9114787763004,15.5943707716051,18.7693104335743,-122.21046734691,44.2335652824372
"SG-005","2017-12-07 18:57:00",16.9271781506417,21.0996784954236,16.5739033602386,-122.235301102558,44.2148178672916
"SG-003","2017-12-07 19:33:00",54.739012173158,58.0336640203655,-37.6171111737269,-122.231042456326,44.2266635035679
"SG-002","2017-12-07 20:17:00",1374.65905102104,11714.0497112331,-364.573602126138,-122.169204679043,44.2252599314063
"SG-003","2017-12-08 19:03:00",1,1,0,-122.224997328772,44.2134616652877
"SG-011","2017-12-08 19:03:00",1,1,0,-122.224997328772,44.2134616652877
"SG-002","2017-12-08 19:58:00",69.1888691416882,378.80883302786,-79.5388909607848,-122.1698452581,44.226092711321
"SG-003","2017-12-08 20:25:00",8055.72588335997,77157.1535572936,-2391.11877788371,-122.212987290707,44.2245411708874
"SG-001","2017-12-08 21:16:00",307.182377437225,183.520874139254,-34.0291715649821,-122.23285995591,44.194698090028
"SG-005","2017-12-08 21:50:00",240.848829935857,1047.44090324039,-91.8115361575092,-122.226346628491,44.2053606036629
"SG-001","2017-12-10 20:46:00",0.616261704019416,0.234818452838278,0.0898726810834906,-122.231643658285,44.2000138859253
"SG-005","2017-12-10 21:34:00",2.74023916508068,0.25235701025753,0.545689396459899,-122.206988069467,44.2095277197035
"SG-002","2017-12-10 23:02:00",129.357055207764,224.6245875826,100.249727578643,-122.147459408715,44.2301526498275
"SG-003","2017-12-13 20:01:00",569.211556813741,7409.92889413595,1033.54164360948,-122.203009858238,44.2321548625955
"SG-005","2017-12-13 20:35:00",1886.42812926541,266.283425771162,-567.855571634468,-122.228300597076,44.2209677303449
"SG-007","2017-12-13 21:35:00",4511.53348595839,1254.67949800483,219.915370140404,-122.237095630863,44.2010312222142
"SG-001","2017-12-13 21:59:00",102.363390809714,51.8282768974764,-15.9267866363364,-122.236472388798,44.1908506291362
"SG-007","2017-12-14 19:35:00",19957.3254020383,27299.8266653755,-9502.44106276256,-122.222977995842,44.2030929582221
"SG-001","2017-12-14 20:01:00",251.705300116138,172.14573565629,-79.8939275790753,-122.237405319428,44.1927625422423
"SG-003","2017-12-14 21:07:00",65.9788208161362,322.503401461674,94.8276999081037,-122.215784149598,44.22753439073
"SG-005","2017-12-14 21:33:00",410.53930785664,29.3575636672441,-15.2643391706025,-122.241158426934,44.2244647633411
"SG-005","2017-12-15 18:16:00",45.2231351560456,17.1817979291283,-14.6674314239359,-122.243895808595,44.212665286821
"SG-003","2017-12-15 18:41:00",538.778690660392,1468.63916056778,192.541563642995,-122.205092446017,44.2348892829692
"SG-007","2017-12-15 20:18:00",1769.75366292665,3029.26690781751,-450.89264412737,-122.230851310278,44.2016533643662
"SG-001","2017-12-15 20:42:00",1449.86959063254,94.0921203319011,309.797987732242,-122.243194207204,44.1886629544544
"SG-005","2017-12-17 21:07:00",887.153931553044,807.229589064474,764.864143607503,-122.215986163714,44.2188460439974
"SG-001","2017-12-17 22:19:00",885.550615896404,4406.35014572208,7.46607510710892,-122.249411962494,44.1798752477682
"SG-002","2017-12-18 20:44:00",0.465518240362433,0.242036783055278,0.164361625495781,-122.164169494829,44.2058829897674
"SG-007","2017-12-18 21:13:00",15520.7121625703,42860.8666131067,2135.44856963034,-122.206974981057,44.2036941566166
"SG-003","2017-12-18 22:36:00",6.931356859255,67.2377714732633,-6.7375003121024,-122.210194079442,44.230177307144
"SG-005","2017-12-18 22:50:00",10935.5932149634,12306.5875355786,10997.3490439274,-122.210361034868,44.2226123157299
"SG-003","2017-12-20 21:54:00",123865.37080554,451774.048543208,-125748.197133204,-122.186431321302,44.2154932697635
"SG-001","2017-12-21 20:58:00",1894.97958744263,374.240184319885,494.818545478042,-122.222808059046,44.1923740520406
"SG-007","2017-12-23 21:31:00",1,1,0,-122.227712324399,44.2001553781898
"SG-001","2017-12-24 00:37:00",1,1,0,-122.242895821375,44.189183109341
"SG-005","2017-12-24 15:39:00",185.885126786125,6594.71320473584,-522.366677706533,-122.231706599387,44.2111809475943
"SG-001","2017-12-24 22:05:00",1,1,0,-122.244696487964,44.1931924428822
"SG-001","2017-12-26 20:53:00",397.931479952831,326.089155556152,-358.383574448516,-122.241524385864,44.1929592213458
"SG-001","2017-12-26 22:10:00",1,1,0,-122.2415947036,44.1911191666525
"SG-002","2017-12-26 23:38:00",151.377453910422,360.605843982877,195.62862157308,-122.191809645076,44.225447200879
"SG-002","2017-12-27 21:12:00",2.08067352934766,3.56003150855428,-1.02193545096615,-122.164350565041,44.234582461918
"SG-007","2017-12-27 21:29:00",1,1,0,-122.225057669,44.2136331344566
"SG-005","2017-12-28 00:19:00",20878.2927489241,1553.90293975984,4012.24579834188,-122.244393285669,44.2176918230973
"SG-001","2017-12-28 19:15:00",1,1,0,-122.231769627099,44.1999666598742
"SG-007","2017-12-28 22:14:00",1253.13455438768,519.90336315172,-767.259593944797,-122.219496038276,44.2099800522555
"SG-001","2017-12-28 23:19:00",641.262482565838,1416.3819954664,239.94613934699,-122.230915043346,44.1985839441961
"SG-001","2017-12-30 20:18:00",7.40012817500364,5.99107038492488,-2.2244790856801,-122.238966601325,44.1851454085604
"SG-003","2017-12-31 10:30:00",6.19388655660777,23.6155945002951,3.20946580403498,-122.236834978312,44.2400705723814
"SG-007","2017-12-31 17:08:00",745.523920202392,587.306934729427,267.637625268777,-122.212221421072,44.2076796319256
"SG-001","2017-12-31 18:43:00",394.202027275525,898.409390058439,-388.433728043057,-122.235641015739,44.1737529599587
"SG-005","2017-12-31 19:54:00",0,0,0,-122.215276332273,44.2217744769092
"SG-007","2018-01-01 01:15:00",1,1,0,-122.211908246225,44.2084293831102
"SG-007","2018-01-01 19:33:00",1,1,0,-122.212202584163,44.2079452429819
"SG-005","2018-01-02 19:34:00",255.120579908018,941.236443726049,385.774496125799,-122.221837888544,44.2193382394983
"SG-014","2018-01-02 20:01:00",1,1,0,-122.227349754841,44.2192756254692
"SG-003","2018-01-02 20:06:00",0,0,0,-122.21951925495,44.2215868538513
"SG-001","2018-01-02 21:34:00",193.874167109262,228.064953893699,195.217716574555,-122.238422033446,44.1926397253687
"SG-007","2018-01-03 20:01:00",8242.46140914718,18932.987330215,-2612.52009334608,-122.228973670815,44.2316256847592
"SG-001","2018-01-03 22:20:00",2411.80764941243,970.221900324397,-348.047869481408,-122.242483157177,44.2005957161444
"SG-001","2018-01-04 21:07:00",1468.81331073714,1462.13302465506,210.351832266514,-122.22719672557,44.1958071228228
"SG-005","2018-01-04 21:31:00",21.3714279908649,25.7740207565101,12.1169144442314,-122.228356356021,44.19824754437
"SG-005","2018-01-06 17:40:00",30.2092959008636,2.60977452426765,-1.84394749292526,-122.228604649526,44.213848406025
"SG-007","2018-01-06 18:18:00",4873.39689328834,3274.29799915133,1786.38007222479,-122.217475426673,44.2194928534928
"SG-003","2018-01-06 19:36:00",2.92326915858195,2.1608780342155,-0.255773021018663,-122.234804918068,44.2412749826081
"SG-007","2018-01-07 01:59:00",9.03316035751572,14.4252403746842,0.907550781201786,-122.226925560864,44.2288111021535
"SG-005","2018-01-07 04:07:00",5644.84902242838,63548.0180168727,-1855.79457023431,-122.223425443961,44.2078100281786
"SG-001","2018-01-08 20:00:00",7834.53738131855,9777.9450586708,-2247.80730182529,-122.236634506003,44.1823876134772
