"animal1","animal2","overlap.low","overlap","overlap.high","s1","s2","sexes","animals"
"225","SG-008","SG-025",0.219413439799133,0.526375851661849,0.869029006484973,"F","M","MF","SG-008.SG-025"
"226","SG-009","SG-001",0.0606134100104455,0.0984373850097799,0.152756296851005,"F","M","MF","SG-009.SG-001"
"227","SG-009","SG-001_2",0.888264489298151,0.954327044252229,0.991908410516541,"F","M","MF","SG-009.SG-001_2"
"228","SG-009","SG-002",0.166048178067155,0.398594716785371,0.715555352327727,"F","M","MF","SG-009.SG-002"
"229","SG-009","SG-003",0.749744089796387,0.82576880735066,0.89191894098771,"F","M","MF","SG-009.SG-003"
"230","SG-009","SG-004",0.352821098293674,0.524224283127722,0.709188737269956,"F","M","MF","SG-009.SG-004"
"231","SG-009","SG-005",0.472577090978275,0.561761392146262,0.652985198497646,"F","F","FF","SG-009.SG-005"
"232","SG-009","SG-006",0.43693104065616,0.501047709912937,0.567592897736188,"F","M","MF","SG-009.SG-006"
"233","SG-009","SG-007",0.313828126692853,0.502711926143889,0.712928143083873,"F","F","FF","SG-009.SG-007"
"234","SG-009","SG-008",0.00336843197625432,0.00772745171037765,0.0166180087429509,"F","F","FF","SG-009.SG-008"
"236","SG-009","SG-010",0.0470363977331243,0.16423759597278,0.413989526571876,"F","M","MF","SG-009.SG-010"
"237","SG-009","SG-011",0.570593774249923,0.6680639384152,0.762312038886277,"F","M","MF","SG-009.SG-011"
"238","SG-009","SG-012",0.0781794922887042,0.260877062678745,0.5937677130037,"F","M","MF","SG-009.SG-012"
"239","SG-009","SG-013",0.193345321451223,0.421785383322828,0.717284244584629,"F","M","MF","SG-009.SG-013"
"240","SG-009","SG-014",0.577713025783455,0.717511469770402,0.844346937787198,"F","M","MF","SG-009.SG-014"
"241","SG-009","SG-015",0.000111188874066344,0.000431574452378816,0.00150363869482127,"F","F","FF","SG-009.SG-015"
"242","SG-009","SG-016",0.403338880282486,0.557746690627599,0.718511575230967,"F","F","FF","SG-009.SG-016"
"243","SG-009","SG-017",4.96041016546708e-05,0.000933426565329707,0.0105513105534016,"F","F","FF","SG-009.SG-017"
"244","SG-009","SG-018",5.5507606738905e-08,9.64217685713831e-07,1.28607652471242e-05,"F","F","FF","SG-009.SG-018"
"245","SG-009","SG-019",0.00036479685067673,0.00164308497615704,0.00632693575917781,"F","M","MF","SG-009.SG-019"
"246","SG-009","SG-020",8.4532050261e-06,4.65315689260805e-05,0.000224259466334047,"F","F","FF","SG-009.SG-020"
"247","SG-009","SG-021",0.305409702691958,0.46995817437215,0.65673687325208,"F","M","MF","SG-009.SG-021"
"248","SG-009","SG-022",2.12840499758201e-05,0.000633048997548842,0.00996916026751543,"F","M","MF","SG-009.SG-022"
"249","SG-009","SG-023",0.209184638535595,0.46217782981595,0.77334313208951,"F","M","MF","SG-009.SG-023"
"250","SG-009","SG-025",0.000172821431654877,0.019145034462426,0.339540662316503,"F","M","MF","SG-009.SG-025"
"251","SG-010","SG-001",0.000214163387416518,0.00189850079121924,0.0121930776509131,"M","M","MM","SG-010.SG-001"
"252","SG-010","SG-001_2",0.0715531829813303,0.230471498539075,0.528456251352014,"M","M","MM","SG-010.SG-001_2"
"253","SG-010","SG-002",0.0188261988900376,0.0955387893940013,0.317582639000609,"M","M","MM","SG-010.SG-002"
"254","SG-010","SG-003",0.0370588671115103,0.135993823572173,0.361258012850734,"M","M","MM","SG-010.SG-003"
"255","SG-010","SG-004",0.00487691319723449,0.0526433778749322,0.282611778375245,"M","M","MM","SG-010.SG-004"
"256","SG-010","SG-005",0.00220351854605235,0.0156770279236108,0.0766233660311314,"M","F","MF","SG-010.SG-005"
